OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
264,1925,5278d1c0-935c-4c20-8441-2b15f219414d,1,4,0,0,8.196721,0.288462,4781.580086,18,4,1,1
265,1438,879349d1-bdf9-4d19-88cb-908f0efd5554,0,4,0,0,6.557377,0.230769,6494.782516,21,4,0,1
266,192,5c06470d-f50d-4ddc-a3ca-eb47b4056fe8,0,2,11,0,21.311475,0.75,1954.742381,14,13,0,1
267,2169,764046bd-8b50-455a-9b1d-d5b8b9d8e7c6,1,1,1,0,1.639344,0.057692,1386.3223,,,1,1
268,1179,30cdc669-1db0-4a6e-a695-8cc9e618dfae,0,8,0,0,13.114754,0.461538,2591.277308,19,8,0,1
269,529,ff301dda-b415-4869-91cc-5e07dd0d33ba,23,52,75,23,127.868852,4.5,3588.628822,14,52,26,3
270,143,b682988a-dab1-44af-9f45-dd4e0189c5f6,0,0,0,0,0,0,56.678312,,,0,1
271,1931,74f2e494-0898-44d3-be0a-edd93cf4ee5b,1,0,1,0,1.639344,0.057692,161.501306,,,1,1
272,1502,5a0582b9-6807-491f-a9b7-60138ab7ef6c,1,11,9,16,47.540984,1.673077,3006.552058,16,28,1,2
273,1441,f31ca5e2-2a49-44a5-8364-a1a7f5c0f2c5,2,12,15,12,52.459016,1.846154,4334.112967,86,30,2,2
274,216,7700ba61-86b3-417b-9771-a4fa13fcde55,1,12,1,0,19.672131,0.692308,5866.88851,29,11,1,1
275,1934,53140647-cbf7-428f-a3e7-507acb66ab22,0,0,0,0,0,0,280.473614,,,0,1
276,1503,f5997428-8018-41a2-9e30-0b7e457af36b,0,12,17,2,32.786885,1.153846,4553.858648,23,20,0,2
277,1935,7a9ed686-9d37-48f7-826b-c4fd40a3f522,1,4,1,4,14.754098,0.519231,1174.119928,26,8,1,1
278,404,f90641f4-a48a-4401-9061-bb2093d9b52a,0,7,0,0,11.47541,0.403846,2384.173386,24,7,0,1
279,1443,f019eb7c-2831-4339-b12b-69314a720061,0,13,2,4,26.229508,0.923077,4116.839961,59,16,0,1
280,2172,a5da7663-5b65-4281-86d5-5cef94cf386a,2,7,2,3,18.032787,0.634615,2508.243877,46,9,2,1
281,1181,39cc033c-886d-4ff8-9908-81c7b0102023,1,9,5,8,29.508197,1.038462,3959.324512,25,17,1,2
282,405,c813c09a-89a5-43dd-8b54-17e3ecc3d984,0,0,0,0,0,0,70.881666,,,0,1
283,1504,ce95cb44-13cb-41e1-aadd-c63b7025ebdd,0,5,6,3,14.754098,0.519231,3874.372371,6,8,1,1
284,1936,8a79e507-1c98-4c22-8acf-35bcc58c3d9d,1,4,1,0,9.836066,0.346154,881.086947,18,5,1,1
285,531,6a2d646a-e15b-4370-a093-84f7e5283c9d,0,3,2,0,6.557377,0.230769,3139.640147,21,4,0,1
286,1444,7c3abbe4-3efc-460f-9e54-d4521324a3ba,1,6,2,3,18.032787,0.634615,2525.661124,58,10,1,1
287,2173,89d9247d-cb9d-4022-b91f-b520be10dae9,0,6,6,1,14.754098,0.519231,2248.571668,18,9,0,1
288,406,d78a473b-8f00-426a-b3e7-e20e37c73ffe,0,0,0,0,0,0,2454.537303,,,0,1
289,1445,fb537e95-b645-4bd7-a44b-c7b0e955d5a5,1,13,2,2,26.229508,0.923077,6211.554059,45,15,1,1
290,1941,127d524b-fe57-43ae-b0ee-a7e6a0575e4a,0,1,0,0,1.639344,0.057692,752.218577,16,1,0,1
291,532,75e787bc-4802-4ed2-a040-dd9b2e239e6d,3,4,5,2,14.754098,0.519231,4509.332849,11,6,3,1
292,2175,32a6e595-ae87-4f17-af23-6cc1d6e9c533,0,7,4,2,14.754098,0.519231,4496.994347,54,9,0,1
293,407,8d3c2d1f-b168-410e-80d5-93673dc6cdcc,4,11,0,0,18.032787,0.634615,3323.577843,39,7,4,1
